Time (ms),Distance (mm),Brake Position (%)
306.0,1.92,100.0
413.0,3.73,100.0
520.0,5.57,100.0
627.0,7.42,100.0
734.0,9.19,100.0
841.0,10.9,100.0
948.0,12.5,100.0
1055.0,14.06,100.0
1162.0,15.52,100.0
1269.0,17.13,100.0
1376.0,18.53,100.0
1483.0,19.94,100.0
1590.0,21.22,100.0
1697.0,22.55,100.0
1804.0,23.76,100.0
1911.0,25.08,100.0
2018.0,26.24,100.0
2125.0,27.49,100.0
2232.0,28.61,100.0
2339.0,29.7,100.0
2446.0,30.78,100.0
2553.0,31.87,100.0
2660.0,32.83,100.0
2767.0,33.86,100.0
2874.0,34.76,100.0
2981.0,35.67,100.0
3088.0,36.62,100.0
3195.0,37.47,100.0
3302.0,38.22,100.0
3409.0,38.97,100.0
3516.0,39.7,100.0
3623.0,40.37,100.0
3730.0,41.09,100.0
3837.0,41.88,100.0
3944.0,42.67,100.0
4051.0,43.4,100.0
4158.0,43.97,100.0
4265.0,44.56,100.0
4372.0,45.18,100.0
4479.0,45.85,100.0
4586.0,46.49,100.0
4693.0,47.12,100.0
4800.0,47.7,100.0
4907.0,48.26,100.0
5014.0,48.72,100.0
5121.0,49.19,100.0
5228.0,49.68,100.0
5335.0,50.1,100.0
5442.0,50.62,100.0
5549.0,51.1,100.0
5656.0,51.5,100.0
5763.0,51.9,100.0
5870.0,52.36,99.41
5977.0,52.76,98.77
6084.0,53.15,98.15
6191.0,53.43,97.69
6298.0,53.83,97.05
6405.0,54.15,96.52
6512.0,54.59,95.83
6619.0,54.92,95.29
6726.0,55.24,94.77
6833.0,55.56,94.27
6940.0,55.89,93.73
7047.0,56.21,93.21
7154.0,56.53,92.7
7261.0,56.8,92.25
7368.0,57.1,91.77
7475.0,57.39,91.31
7582.0,57.73,90.76
7689.0,57.94,90.42
7796.0,58.23,89.95
7903.0,58.43,89.63
8010.0,58.62,89.32
8117.0,58.92,88.84
8224.0,59.04,88.64
8331.0,59.19,88.41
8438.0,59.41,88.04
8545.0,59.58,87.78
8652.0,59.76,87.48
8759.0,59.92,87.23
8866.0,60.15,86.85
8973.0,60.29,86.63
9080.0,60.46,86.36
9187.0,60.59,86.14
9294.0,60.78,85.84
9401.0,60.93,85.6
9508.0,61.16,85.22
9615.0,61.39,84.85
9722.0,61.47,84.73
9829.0,61.57,84.56
9936.0,61.67,84.4
10043.0,61.91,84.01
10150.0,62.09,83.72
10257.0,62.15,83.63
10364.0,62.2,83.55
10471.0,62.34,83.32
10578.0,62.42,83.2
13040.0,61.73,84.31
13147.0,65.74,77.84
13254.0,61.5,84.68
13361.0,68.25,73.79
13468.0,62.5,83.06
13575.0,69.26,72.16
13682.0,65.23,78.67
13789.0,64.24,80.25
13896.0,66.74,76.23
14003.0,62.51,83.05
14110.0,71.0,69.35
14217.0,62.75,82.66
14324.0,72.05,67.66
14431.0,74.24,64.14
14538.0,64.93,79.15
14645.0,60.98,85.52
14752.0,67.51,74.98
14859.0,65.99,77.43
14966.0,65.98,77.46
15073.0,62.49,83.08
15180.0,67.49,75.01
15287.0,62.49,83.09
15394.0,65.75,77.82
15501.0,64.99,79.04
15608.0,65.0,79.03
15715.0,66.74,76.23
15822.0,62.49,83.09
15929.0,65.74,77.84
16036.0,61.5,84.68
16143.0,68.28,73.74
16250.0,69.45,71.85
16357.0,55.71,94.02
16464.0,66.28,76.97
16571.0,65.74,77.83
16678.0,63.24,81.87
16785.0,65.75,77.82
16892.0,65.02,79.01
16999.0,70.25,70.56
17106.0,64.5,79.84
17213.0,71.23,68.99
17320.0,60.22,86.74
17427.0,67.52,74.97
17534.0,67.74,74.62
17641.0,63.46,81.51
17748.0,61.49,84.69
17855.0,66.51,76.6
17962.0,65.0,79.03
18069.0,66.72,76.26
18176.0,58.97,88.76
18283.0,63.78,81.01
18390.0,68.24,73.8
18497.0,60.72,85.94
18604.0,63.01,82.24
18711.0,66.51,76.6
18818.0,65.01,79.02
18925.0,68.49,73.4
19032.0,63.48,81.49
19139.0,64.99,79.06
19246.0,63.24,81.87
19353.0,65.76,77.81
19460.0,66.77,76.18
19567.0,69.49,71.8
19674.0,62.72,82.71
19781.0,64.99,79.04
19888.0,65.01,79.02
19995.0,68.51,73.37
20102.0,66.99,75.83
20209.0,65.23,78.67
20316.0,64.23,80.28
20423.0,63.22,81.9
20530.0,60.49,86.3
20637.0,65.54,78.16
20744.0,70.99,69.36
20851.0,60.96,85.55
20958.0,64.0,80.64
21065.0,65.75,77.82
21172.0,65.01,79.02
21279.0,68.51,73.37
21386.0,66.97,75.85
21493.0,61.73,84.31
21600.0,65.76,77.81
21707.0,66.76,76.19
21814.0,67.76,74.58
21921.0,68.72,73.03
22028.0,60.98,85.52
22135.0,67.52,74.97
22242.0,67.74,74.61
22349.0,65.24,78.65
22456.0,65.99,77.44
22563.0,64.24,80.25
22670.0,66.76,76.19
22777.0,67.76,74.58
22884.0,68.75,72.98
22991.0,67.98,74.23
23098.0,64.48,79.86
23205.0,67.74,74.62
23312.0,63.49,81.46
23419.0,68.49,73.4
23526.0,63.47,81.5
23633.0,63.25,81.85
23740.0,67.52,74.97
23847.0,67.74,74.62
23954.0,63.48,81.48
24061.0,66.74,76.22
24168.0,64.26,80.23
24275.0,70.24,70.59
24382.0,60.96,85.55
24489.0,64.0,80.64
24596.0,65.76,77.81
24703.0,66.77,76.18
24810.0,69.52,71.75
24917.0,69.75,71.37
25024.0,68.97,72.63
25131.0,63.72,81.1
25238.0,66.01,77.4
25345.0,69.49,71.78
25452.0,64.48,79.88
25559.0,65.99,77.43
25666.0,65.98,77.46
25773.0,62.47,83.11
25880.0,62.26,83.45
25987.0,68.28,73.74
26094.0,69.5,71.77
26201.0,66.23,77.05
26308.0,65.21,78.69
26415.0,60.76,85.87
26522.0,71.76,68.13
26629.0,62.74,82.67
26736.0,70.22,70.61
