Time (ms),Raw ADC Value,Steering Angle (%)
300.0,506.0,-2.0
400.0,510.0,-0.4
500.0,507.0,-1.6
600.0,507.0,-1.6
700.0,506.0,-2.0
800.0,508.0,-1.2
900.0,507.0,-1.6
1000.0,507.0,-1.6
1100.0,506.0,-2.0
1200.0,512.0,0.4
1300.0,505.0,-2.3
1400.0,506.0,-2.0
1500.0,510.0,-0.4
1600.0,507.0,-1.6
1700.0,513.0,0.8
1800.0,512.0,0.4
1900.0,507.0,-1.6
2000.0,507.0,-1.6
2100.0,504.0,-2.7
2200.0,508.0,-1.2
2300.0,504.0,-2.7
2400.0,511.0,0.0
2500.0,499.0,-4.7
2600.0,506.0,-2.0
2700.0,505.0,-2.3
2800.0,506.0,-2.0
2900.0,505.0,-2.3
3000.0,506.0,-2.0
3100.0,504.0,-2.7
3200.0,512.0,0.4
3300.0,504.0,-2.7
3400.0,509.0,-0.8
3500.0,506.0,-2.0
3600.0,503.0,-3.1
3700.0,505.0,-2.3
3800.0,505.0,-2.3
3900.0,499.0,-4.7
4000.0,504.0,-2.7
4100.0,506.0,-2.0
4200.0,504.0,-2.7
4300.0,505.0,-2.3
4400.0,507.0,-1.6
4500.0,506.0,-2.0
4600.0,505.0,-2.3
4700.0,505.0,-2.3
4800.0,513.0,0.8
4900.0,506.0,-2.0
5000.0,506.0,-2.0
5100.0,506.0,-2.0
5200.0,506.0,-2.0
5300.0,505.0,-2.3
5400.0,509.0,-0.8
5500.0,512.0,0.4
5600.0,508.0,-1.2
5700.0,506.0,-2.0
5800.0,509.0,-0.8
5900.0,506.0,-2.0
6000.0,510.0,-0.4
6100.0,508.0,-1.2
6200.0,511.0,0.0
6300.0,510.0,-0.4
6400.0,504.0,-2.7
6500.0,511.0,0.0
6600.0,506.0,-2.0
6700.0,504.0,-2.7
6800.0,504.0,-2.7
6900.0,510.0,-0.4
7000.0,506.0,-2.0
7100.0,514.0,1.2
7200.0,512.0,0.4
7300.0,504.0,-2.7
7400.0,508.0,-1.2
7500.0,506.0,-2.0
7600.0,510.0,-0.4
7700.0,510.0,-0.4
7800.0,507.0,-1.6
7900.0,510.0,-0.4
8000.0,505.0,-2.3
8100.0,506.0,-2.0
8200.0,507.0,-1.6
8300.0,504.0,-2.7
8400.0,512.0,0.4
8500.0,505.0,-2.3
8600.0,513.0,0.8
8700.0,506.0,-2.0
8800.0,508.0,-1.2
8900.0,513.0,0.8
9000.0,507.0,-1.6
9100.0,506.0,-2.0
9200.0,505.0,-2.3
9300.0,507.0,-1.6
9400.0,507.0,-1.6
9500.0,505.0,-2.3
9600.0,515.0,1.6
9700.0,512.0,0.4
9800.0,513.0,0.8
9900.0,506.0,-2.0
10000.0,510.0,-0.4
10100.0,507.0,-1.6
10200.0,505.0,-2.3
10300.0,506.0,-2.0
10400.0,506.0,-2.0
10500.0,506.0,-2.0
10600.0,509.0,-0.8
10700.0,505.0,-2.3
10800.0,507.0,-1.6
10900.0,507.0,-1.6
11000.0,508.0,-1.2
11100.0,509.0,-0.8
11200.0,507.0,-1.6
11300.0,509.0,-0.8
11400.0,506.0,-2.0
11500.0,504.0,-2.7
11600.0,505.0,-2.3
11700.0,505.0,-2.3
11800.0,508.0,-1.2
11900.0,505.0,-2.3
12000.0,512.0,0.4
12100.0,509.0,-0.8
12200.0,509.0,-0.8
12300.0,511.0,0.0
12400.0,508.0,-1.2
12500.0,502.0,-3.5
12600.0,507.0,-1.6
12700.0,506.0,-2.0
12800.0,507.0,-1.6
12900.0,506.0,-2.0
13000.0,506.0,-2.0
13100.0,506.0,-2.0
13200.0,507.0,-1.6
13300.0,508.0,-1.2
13400.0,498.0,-5.1
13500.0,507.0,-1.6
13600.0,506.0,-2.0
13700.0,507.0,-1.6
13800.0,508.0,-1.2
13900.0,511.0,0.0
14000.0,505.0,-2.3
14100.0,506.0,-2.0
14200.0,506.0,-2.0
14300.0,504.0,-2.7
14400.0,506.0,-2.0
14500.0,511.0,0.0
14600.0,507.0,-1.6
14700.0,510.0,-0.4
14800.0,503.0,-3.1
14900.0,504.0,-2.7
15000.0,512.0,0.4
15100.0,505.0,-2.3
15200.0,507.0,-1.6
15300.0,507.0,-1.6
15400.0,514.0,1.2
15500.0,504.0,-2.7
15600.0,513.0,0.8
